combination,features,n_valid,n_hstar_first,pct_hstar_first,mean_delta,p_value
hjorth_dfa_petrosian,"['hjorth_complexity', 'dfa', 'petrosian_fd']",1542,857,55.577172503242544,-10.0,6.5358032042895814e-06
hjorth_dfa,"['hjorth_complexity', 'dfa']",1541,856,55.54834523036989,-9.974042829331603,7.295580837838013e-06
hjorth_only,['hjorth_complexity'],1536,850,55.338541666666664,-9.39453125,1.5723814616967423e-05
hjorth_dfa_perm,"['hjorth_complexity', 'dfa', 'perm_entropy']",1556,859,55.20565552699229,-9.543701799485861,2.204332923876491e-05
top4_hctsa,"['hjorth_complexity', 'dfa', 'petrosian_fd', 'perm_entropy']",1557,859,55.17019910083494,-9.505459216441876,2.472384083527552e-05
all_precede,"['hjorth_complexity', 'dfa', 'petrosian_fd', 'perm_entropy', 'svd_entropy', 'hjorth_mobility']",1626,881,54.182041820418206,-10.344403444034441,0.00040454850578031695
dfa_only,['dfa'],1622,860,53.0209617755857,-8.853267570900123,0.007996113729522875
